,CA1_theta,BLA_sGamma,BLA_beta,BLA_fGamma
ym212,0.49983423078832073,0.3809754196664128,0.11919034954526643,0.0
ym213,0.5339073969243289,0.45914883608102364,0.006943766994647465,0.0
ym214,0.4237380433850149,0.20014263659223092,0.24902422843788208,0.12575523256501467
ym215,0.32123286510140364,0.3070815149897057,0.23851680372750578,0.1331688161813849
ym218,0.4626880349834873,0.35127506779458006,0.15183303370049336,0.0342038635214391
ym219,0.43101454057437816,0.4379887214182769,0.130996738007345,0.0
ym220,0.45099385708382833,0.36951213066426425,0.17949401225190742,0.0
ym222,0.3190543587680048,0.4192864069999255,0.16171085606295799,0.09994837816911174
ym223,0.5331462967314794,0.4643171976603396,0.0,0.0025365056081811
ym224,0.517067999061581,0.3387430261789872,0.14418897475943185,0.0
ym226,0.3445877093762027,0.2861183121822078,0.29588018946125233,0.07341378898033704
ym227,0.4665275783386101,0.3678103466192517,0.16566207504213823,0.0
